16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
76,76,76,76,76,76,76,76,76,76,76,76,76,76,81.2737,152,76,76,76,76,87.2659,76,76,76
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
76,76,76,76,76,76,76,76,76,76,76,76,76,76,81.2737,152,76,76,76,76,87.2659,76,76,76
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,155,155,155,155,155,155,155,77.5,155,155,155,155,77.5,77.5
77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,155,155,155,155,155,155,155,77.5,155,155,155,155,77.5,77.5
280,400,400,400,280,400,400,400,400,280,400,400,400,400,400,400,400,400,400,400,400,400,400,400
280,400,400,400,280,400,400,400,400,280,400,400,400,400,400,400,400,400,400,400,400,400,400,400
0,0,0,0,0,0,300,300,300,39.0755,300,300,300,300,300,300,300,300,300,300,300,300,300,300
155,155,155,155,155,155,155,155,264.2998,155,243.6865,310,310,310,310,310,310,255.6857,310,310,310,310,299.9351,155
175,175,175,175,175,175,175,350,350,175,350,350,350,350,350,350,350,350,350,350,350,350,350,175
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
76,76,76,76,76,76,76,76,76,89.3373,76,76,76,76,76,87.8672,76,76,76,76,76,76,76,76
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,155,155,155,155,155,155,155,112.6213,155,155,155,155,77.5,77.5
77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,104.0467,77.5,155,155,155,155,155,155,155,77.5,155,155,155,155,77.5,77.5
280,400,400,400,280,400,400,400,400,280,400,400,400,400,400,400,400,400,400,400,400,400,400,388.728
280,400,400,313.366,280,400,400,400,400,280,400,400,400,400,400,400,400,400,400,400,400,400,400,400
0,0,0,0,0,0,300,300,300,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300
155,155,155,155,155,155,155,155,155,155,190.3088,310,174.4403,310,310,310,310,155,237.1547,310,310,283.1483,155,155
175,175,175,175,175,175,175,208.1805,350,175,350,350,350,350,350,350,350,350,350,350,350,350,350,175
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
76,76,76,76,76,76,76,76,76,93.9357,76,76,76,76,76,76,76,76,76,76,76,76,76,76
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4,236.4
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,155,77.5,77.5,155,155,155,77.5,77.5,77.5,155,77.5,77.5,77.5
77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,155,77.5,77.5,155,155,155,77.5,77.5,77.5,155,77.5,77.5,77.5
280,400,295.3967,280,280,400,284.271,400,400,280,400,400,400,400,400,400,400,400,400,400,400,400,400,280
280,349.4486,280,280,280,380.4679,280,400,400,280,400,400,400,400,400,400,400,400,400,400,400,400,400,280
0,0,0,0,0,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
155,155,155,155,155,155,155,155,155,155,155,310,155,192.7953,310,310,310,155,155,263.1987,310,155,155,155
175,175,175,175,175,175,175,175,350,175,350,350,350,350,350,350,350,350,350,350,350,350,350,175
